[2017-05-26 16:53:56] 05 0.0.0.0          Connection Established
[2017-05-26 16:55:24] 05 127.0.0.1        WORK 1effffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212399 04

[2017-05-26 16:55:24] 05 127.0.0.1        WORK 1effffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212399 04

[2017-05-26 16:55:24] 05 127.0.0.1        WORK 1effffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212399 04

[2017-05-26 16:55:24] 05 127.0.0.1        WORK 1effffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212399 04

[2017-05-26 16:55:25] 05 127.0.0.1        WORK 1effffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212399 04

[2017-05-26 16:55:25] 05 127.0.0.1        WORK 1effffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212399 04

[2017-05-26 16:55:25] 05 127.0.0.1        WORK 1effffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212399 04

[2017-05-26 16:55:25] 05 127.0.0.1        WORK 1effffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212399 04

[2017-05-26 16:55:25] 05 127.0.0.1        WORK 1effffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212399 04

[2017-05-26 16:55:25] 05 127.0.0.1        WORK 1effffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212399 04

[2017-05-26 16:55:25] 05 127.0.0.1        WORK 1effffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212399 04

[2017-05-26 16:55:25] 05 127.0.0.1        WORK 1effffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212399 04

[2017-05-26 16:55:25] 05 127.0.0.1        WORK 1effffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212399 04

[2017-05-26 16:55:25] 05 127.0.0.1        WORK 1effffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212399 04

[2017-05-26 16:55:25] 05 127.0.0.1        WORK 1effffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212399 04

[2017-05-26 16:55:26] 05 0.0.0.0          SOLN 1effffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 100000002321ed8f
[2017-05-26 16:55:26] 05 0.0.0.0          SOLN 1effffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 100000002321ed8f
[2017-05-26 16:55:27] 05 0.0.0.0          SOLN 1effffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 100000002321ed8f
[2017-05-26 16:55:28] 05 0.0.0.0          SOLN 1effffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 100000002321ed8f
[2017-05-26 16:55:29] 05 0.0.0.0          SOLN 1effffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 100000002321ed8f
[2017-05-26 16:55:30] 05 0.0.0.0          SOLN 1effffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 100000002321ed8f
[2017-05-26 16:55:30] 05 0.0.0.0          SOLN 1effffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 100000002321ed8f
[2017-05-26 16:55:31] 05 0.0.0.0          SOLN 1effffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 100000002321ed8f
[2017-05-26 16:55:32] 05 0.0.0.0          SOLN 1effffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 100000002321ed8f
[2017-05-26 16:55:33] 05 0.0.0.0          SOLN 1effffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 100000002321ed8f
[2017-05-26 16:55:33] 05 0.0.0.0          SOLN 1effffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 100000002321ed8f
[2017-05-26 16:55:34] 05 0.0.0.0          SOLN 1effffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 100000002321ed8f
[2017-05-26 16:55:35] 05 0.0.0.0          SOLN 1effffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 100000002321ed8f
[2017-05-26 16:55:36] 05 0.0.0.0          SOLN 1effffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 100000002321ed8f
[2017-05-26 16:55:36] 05 0.0.0.0          SOLN 1effffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 100000002321ed8f
[2017-05-26 16:55:37] 05 0.0.0.0          SOLN 1effffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 100000002321ed8f
[2017-05-26 16:55:38] 05 0.0.0.0          SOLN 1effffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 100000002321ed8f
[2017-05-26 16:55:39] 05 0.0.0.0          SOLN 1effffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 100000002321ed8f
[2017-05-26 16:55:39] 05 0.0.0.0          SOLN 1effffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 100000002321ed8f
[2017-05-26 16:55:40] 05 0.0.0.0          SOLN 1effffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 100000002321ed8f
[2017-05-26 16:55:41] 05 0.0.0.0          SOLN 1effffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 100000002321ed8f
[2017-05-26 16:55:48] 05 0.0.0.0          ERRO Invalid server usage                    

[2017-05-26 16:55:50] 05 0.0.0.0          SOLN 1effffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 100000002321ed8f
[2017-05-26 16:55:51] 05 0.0.0.0          SOLN 1effffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 100000002321ed8f
[2017-05-26 16:55:51] 05 0.0.0.0          SOLN 1effffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 100000002321ed8f
[2017-05-26 16:55:52] 05 0.0.0.0          SOLN 1effffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 100000002321ed8f
[2017-05-26 16:55:59] 05 127.0.0.1        PING

[2017-05-26 16:55:59] 05 0.0.0.0          PONG
[2017-05-26 16:56:00] 05 0.0.0.0          SOLN 1effffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 100000002321ed8f
[2017-05-26 16:56:01] 05 0.0.0.0          SOLN 1effffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 100000002321ed8f
[2017-05-26 16:56:02] 05 0.0.0.0          SOLN 1effffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 100000002321ed8f
[2017-05-26 16:56:03] 05 0.0.0.0          SOLN 1effffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 100000002321ed8f
[2017-05-26 16:56:03] 05 0.0.0.0          SOLN 1effffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 100000002321ed8f
[2017-05-26 16:56:10] 05 127.0.0.1        ABRT

[2017-05-26 16:56:11] 05 0.0.0.0          OKAY
[2017-05-26 16:56:14] 05 0.0.0.0          SOLN 1effffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 100000002321ed8f
[2017-05-26 16:56:14] 05 0.0.0.0          SOLN 1effffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 100000002321ed8f
[2017-05-26 16:56:15] 05 0.0.0.0          SOLN 1effffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 100000002321ed8f
[2017-05-26 16:56:16] 05 0.0.0.0          SOLN 1effffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 100000002321ed8f
[2017-05-26 16:56:17] 05 0.0.0.0          SOLN 1effffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 100000002321ed8f
[2017-05-26 16:56:17] 05 0.0.0.0          SOLN 1effffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 100000002321ed8f
[2017-05-26 16:56:18] 05 0.0.0.0          SOLN 1effffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 100000002321ed8f
[2017-05-26 16:56:19] 05 0.0.0.0          SOLN 1effffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 100000002321ed8f
[2017-05-26 16:56:20] 05 0.0.0.0          SOLN 1effffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 100000002321ed8f
[2017-05-26 16:56:21] 05 0.0.0.0          SOLN 1effffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 100000002321ed8f
[2017-05-26 16:56:22] 05 0.0.0.0          SOLN 1effffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 100000002321ed8f
[2017-05-26 16:56:22] 05 0.0.0.0          SOLN 1effffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 100000002321ed8f
[2017-05-26 16:56:23] 05 0.0.0.0          SOLN 1effffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 100000002321ed8f
[2017-05-26 16:56:24] 05 0.0.0.0          SOLN 1effffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 100000002321ed8f
[2017-05-26 16:56:25] 05 0.0.0.0          SOLN 1effffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 100000002321ed8f
[2017-05-26 16:56:35] 05 127.0.0.1        ABRT

[2017-05-26 16:56:35] 05 0.0.0.0          OKAY
